Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
COGT,14.16,2025-09-26,True,EXPIRED,23.0,8.26
SIFY,12.89,2025-09-26,True,EXPIRED,59.0,107.9
XGN,10.89,2025-09-26,True,EXPIRED,59.0,28.88
RZLT,9.34,2025-09-26,True,EXPIRED,63.0,48.25
AVAH,8.75,2025-09-26,True,EXPIRED,50.0,50.6
AQB,1.84,2025-09-26,True,GOOD_ENTRY,7.0,19.48
ELAN,19.61,2025-09-26,True,EXPIRED,50.0,18.99
SBH,15.98,2025-09-26,True,GOOD_ENTRY,15.0,4.79
MUX,15.55,2025-09-26,True,EXPIRED,24.0,12.76
SAND,12.27,2025-09-26,True,EXPIRED,49.0,17.75
HL,11.67,2025-09-26,True,EXPIRED,45.0,52.15
SAN,10.38,2025-09-26,True,EXPIRED,63.0,15.72
CGAU,10.26,2025-09-26,True,EXPIRED,32.0,33.77
GNW,9.11,2025-09-26,True,EXPIRED,60.0,12.33
