Ticker,Price,Date,Trinity
STOK,18.51,2025-08-18,True
SSRM,16.78,2025-08-18,True
COMM,15.69,2025-08-18,True
CHCI,15.56,2025-08-18,True
TBPH,13.61,2025-08-18,True
AUPH,12.22,2025-08-18,True
VALN,12.14,2025-08-18,True
ELTX,11.78,2025-08-18,True
XGN,9.75,2025-08-18,True
XERS,7.36,2025-08-18,True
EFTY,6.37,2025-08-18,True
TURN,4.62,2025-08-18,True
VFF,2.9,2025-08-18,True
SWAG,1.79,2025-08-18,True
KGC,19.38,2025-08-18,True
AMX,19.14,2025-08-18,True
PRM,18.65,2025-08-18,True
NPB,16.24,2025-08-18,True
GENI,12.93,2025-08-18,True
VIV,12.49,2025-08-18,True
JMIA,8.03,2025-08-18,True
TEF,5.65,2025-08-18,True
QD,5.02,2025-08-18,True
