Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
SSRM,19.95,2025-09-02,True,EXPIRED,27.0,30.91
KPLT,18.88,2025-09-02,True,EXTENDED_MOVE,13.0,23.4
EZPW,16.65,2025-09-02,True,GOOD_ENTRY,4.0,-0.12
HCSG,15.84,2025-09-02,True,GOOD_ENTRY,14.0,2.92
TBPH,13.84,2025-09-02,True,LATE_STAGE,21.0,16.11
KALA,12.19,2025-09-02,True,GOOD_ENTRY,4.0,8.65
ONEG,12.06,2025-09-02,True,CAUTION,21.0,12.71
HDSN,10.26,2025-09-02,True,EXPIRED,33.0,9.27
VSTM,9.22,2025-09-02,True,GOOD_ENTRY,11.0,1.54
CIFR,8.32,2025-09-02,True,GOOD_ENTRY,4.0,8.9
IMRX,5.99,2025-09-02,True,EXTENDED_MOVE,12.0,29.37
PGEN,4.76,2025-09-02,True,EXTENDED_MOVE,18.0,61.9
NUTR,4.66,2025-09-02,True,CAUTION,15.0,13.66
DSWL,4.07,2025-09-02,True,LATE_STAGE,18.0,17.29
GOSS,2.59,2025-09-02,True,EXPIRED,36.0,30.81
GEG,2.56,2025-09-02,True,CAUTION,15.0,14.29
DRD,19.77,2025-09-02,True,CAUTION,8.0,11.13
NPB,18.0,2025-09-02,True,LATE_STAGE,21.0,15.16
PBT,17.69,2025-09-02,True,EXPIRED,28.0,18.49
AVBC,15.5,2025-09-02,True,GOOD_ENTRY,13.0,3.33
GDOT,13.94,2025-09-02,True,GOOD_ENTRY,21.0,3.8
SVV,12.54,2025-09-02,True,EXPIRED,28.0,10.48
IAG,9.43,2025-09-02,True,CAUTION,12.0,11.47
CX,9.16,2025-09-02,True,EXPIRED,35.0,6.02
KNOP,8.45,2025-09-02,True,GOOD_ENTRY,4.0,1.56
CPAC,6.79,2025-09-02,True,GOOD_ENTRY,4.0,0.15
