Ticker,Price,Date,Trinity
CMPO,19.45,2025-08-14,True
NMRK,17.37,2025-08-14,True
SSRM,16.08,2025-08-14,True
TBPH,12.94,2025-08-14,True
AUPH,12.09,2025-08-14,True
AACI,10.33,2025-08-14,True
NMPAU,10.07,2025-08-14,True
INTR,8.17,2025-08-14,True
PBYI,5.32,2025-08-14,True
IMAB,5.16,2025-08-14,True
VFF,2.82,2025-08-14,True
BBVA,19.05,2025-08-14,True
PRM,18.52,2025-08-14,True
ELAN,18.0,2025-08-14,True
NPB,16.35,2025-08-14,True
NWG,15.17,2025-08-14,True
GDOT,13.79,2025-08-14,True
GENI,12.91,2025-08-14,True
VIV,12.3,2025-08-14,True
CDE,11.59,2025-08-14,True
SAN,9.62,2025-08-14,True
ELP,9.0,2025-08-14,True
GNW,8.55,2025-08-14,True
AEG,7.51,2025-08-14,True
NMR,7.26,2025-08-14,True
MFG,6.5,2025-08-14,True
TEF,5.58,2025-08-14,True
LYG,4.58,2025-08-14,True
