Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
STOK,19.76,2025-08-29,True,LATE_STAGE,16.0,16.85
FRBA,16.82,2025-08-29,True,GOOD_ENTRY,7.0,1.26
FSHP,10.56,2025-08-29,True,EXPIRED,22.0,0.67
CURX,5.6,2025-08-29,True,EXTENDED_MOVE,2.0,20.17
BRLT,2.92,2025-08-29,True,GOOD_ENTRY,3.0,5.8
FBIO,2.58,2025-08-29,True,GOOD_ENTRY,3.0,9.79
BVN,19.14,2025-08-29,True,EXPIRED,23.0,4.36
PSTL,15.84,2025-08-29,True,GOOD_ENTRY,2.0,1.54
NPKI,10.4,2025-08-29,True,EXPIRED,35.0,15.17
HL,8.51,2025-08-29,True,CAUTION,17.0,10.95
