Ticker,Price,Date,Trinity
ISSC,19.73,2025-08-13,True
CMPO,19.27,2025-08-13,True
NMRK,17.42,2025-08-13,True
SSRM,16.35,2025-08-13,True
ATEC,15.8,2025-08-13,True
CHCI,15.1,2025-08-13,True
PDLB,14.91,2025-08-13,True
FORD,13.41,2025-08-13,True
ADPT,13.0,2025-08-13,True
OCUL,12.5,2025-08-13,True
AUPH,12.01,2025-08-13,True
VALN,11.16,2025-08-13,True
ASPI,11.03,2025-08-13,True
XGN,9.67,2025-08-13,True
BHST,9.49,2025-08-13,True
CUPR,9.21,2025-08-13,True
AVAH,7.15,2025-08-13,True
EFTY,5.69,2025-08-13,True
IMAB,4.24,2025-08-13,True
DAN,19.23,2025-08-13,True
PRM,18.51,2025-08-13,True
ELAN,17.81,2025-08-13,True
MYE,16.79,2025-08-13,True
SAND,10.65,2025-08-13,True
NPKI,10.0,2025-08-13,True
SAN,9.53,2025-08-13,True
JMIA,7.46,2025-08-13,True
QD,4.32,2025-08-13,True
