Ticker,Price,Date,Trinity
STOK,19.68,2025-08-21,True
SSRM,16.92,2025-08-21,True
ATEC,15.93,2025-08-21,True
BWAY,14.99,2025-08-21,True
TDUP,11.16,2025-08-21,True
XGN,9.98,2025-08-21,True
NBTX,9.74,2025-08-21,True
ASLE,8.85,2025-08-21,True
EFTY,7.05,2025-08-21,True
TLS,6.13,2025-08-21,True
ATAI,4.39,2025-08-21,True
IVA,4.26,2025-08-21,True
THTX,3.25,2025-08-21,True
IPA,2.63,2025-08-21,True
CGTX,1.99,2025-08-21,True
KGC,19.51,2025-08-21,True
AMX,19.42,2025-08-21,True
NPB,16.56,2025-08-21,True
NWG,15.25,2025-08-21,True
SAND,10.82,2025-08-21,True
CX,8.79,2025-08-21,True
AEG,8.03,2025-08-21,True
