Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
PPTA,18.61,2025-08-27,True,GOOD_ENTRY,12.0,7.51
MSGY,12.22,2025-08-27,True,EXPIRED,27.0,3.74
VOD,12.06,2025-08-27,True,GOOD_ENTRY,12.0,3.34
MLCO,9.9,2025-08-27,True,GOOD_ENTRY,2.0,4.43
SIFY,9.55,2025-08-27,True,EXPIRED,29.0,54.03
INTR,8.39,2025-08-27,True,GOOD_ENTRY,20.0,8.68
BLZE,8.2,2025-08-27,True,GOOD_ENTRY,5.0,-0.24
SPAI,6.91,2025-08-27,True,GOOD_ENTRY,2.0,1.77
TURN,4.73,2025-08-27,True,EXPIRED,29.0,11.29
NB,4.63,2025-08-27,True,CAUTION,21.0,14.89
MDXH,3.59,2025-08-27,True,GOOD_ENTRY,2.0,1.41
AAME,3.43,2025-08-27,True,CAUTION,13.0,19.1
SNDL,2.53,2025-08-27,True,GOOD_ENTRY,2.0,5.42
AII,19.47,2025-08-27,True,GOOD_ENTRY,12.0,2.1
ELAN,18.49,2025-08-27,True,CAUTION,20.0,12.2
AVAL,3.38,2025-08-27,True,GOOD_ENTRY,9.0,2.74
