Ticker,Price,Date,Trinity
ISSC,19.48,2025-08-12,True
CMPO,18.82,2025-08-12,True
NMRK,16.73,2025-08-12,True
SSRM,16.13,2025-08-12,True
ATEC,15.72,2025-08-12,True
OCUL,12.48,2025-08-12,True
XGN,9.56,2025-08-12,True
FMFC,7.7,2025-08-12,True
EVLV,7.5,2025-08-12,True
AVAH,7.24,2025-08-12,True
ONDS,4.29,2025-08-12,True
ARTW,4.26,2025-08-12,True
VFF,2.48,2025-08-12,True
KGC,19.33,2025-08-12,True
ELAN,17.43,2025-08-12,True
MYE,16.53,2025-08-12,True
GENI,12.74,2025-08-12,True
CDE,11.86,2025-08-12,True
NPKI,9.87,2025-08-12,True
SAN,9.39,2025-08-12,True
CX,8.77,2025-08-12,True
EBR,8.44,2025-08-12,True
GNW,8.44,2025-08-12,True
IHS,7.31,2025-08-12,True
JMIA,7.25,2025-08-12,True
MFG,6.43,2025-08-12,True
LYG,4.53,2025-08-12,True
