Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
PRCH,19.04,2025-09-08,True,EXPIRED,33.0,18.7
NMRK,18.81,2025-09-08,True,EXPIRED,32.0,18.45
GILT,10.57,2025-09-08,True,EXPIRED,33.0,15.52
ASYS,7.93,2025-09-08,True,EXTENDED_MOVE,4.0,23.71
MOB,6.42,2025-09-08,True,EXTENDED_MOVE,14.0,22.29
ONDS,6.06,2025-09-08,True,EXPIRED,32.0,86.46
MBOT,4.5,2025-09-08,True,EXTENDED_MOVE,18.0,26.4
RAVE,3.41,2025-09-08,True,GOOD_ENTRY,18.0,8.25
PMEC,1.87,2025-09-08,True,EXTENDED_MOVE,19.0,23.84
SKE,17.53,2025-09-08,True,GOOD_ENTRY,6.0,1.21
CDE,14.56,2025-09-08,True,EXPIRED,32.0,29.08
SGHC,12.65,2025-09-08,True,GOOD_ENTRY,13.0,2.85
SAND,11.59,2025-09-08,True,EXPIRED,31.0,11.23
HL,10.12,2025-09-08,True,EXPIRED,27.0,31.94
CGAU,8.89,2025-09-08,True,CAUTION,14.0,15.91
TK,8.61,2025-09-08,True,GOOD_ENTRY,6.0,5.77
ODV,2.89,2025-09-08,True,GOOD_ENTRY,13.0,0.7
