Ticker,Price,Date,Trinity
CMPO,19.84,2025-08-22,True
NMRK,18.14,2025-08-22,True
SSRM,17.11,2025-08-22,True
ATEC,16.14,2025-08-22,True
BWAY,15.2,2025-08-22,True
PBFS,13.22,2025-08-22,True
WNEB,12.37,2025-08-22,True
TDUP,11.68,2025-08-22,True
XGN,10.1,2025-08-22,True
NBTX,10.09,2025-08-22,True
AMRX,9.59,2025-08-22,True
FMFC,9.4,2025-08-22,True
EMPG,8.48,2025-08-22,True
RZLT,7.0,2025-08-22,True
EFTY,6.98,2025-08-22,True
TLS,6.57,2025-08-22,True
BUUU,5.4,2025-08-22,True
ATAI,4.57,2025-08-22,True
ONDS,4.49,2025-08-22,True
NUTR,4.43,2025-08-22,True
PGEN,4.18,2025-08-22,True
IPA,3.2,2025-08-22,True
VFF,2.96,2025-08-22,True
CGTX,2.81,2025-08-22,True
DAN,19.82,2025-08-22,True
KGC,19.6,2025-08-22,True
PRM,19.48,2025-08-22,True
BVN,18.87,2025-08-22,True
NPB,17.17,2025-08-22,True
VIV,12.63,2025-08-22,True
CDE,12.07,2025-08-22,True
SAND,10.98,2025-08-22,True
NPKI,10.39,2025-08-22,True
SAN,9.79,2025-08-22,True
CX,8.9,2025-08-22,True
GNW,8.68,2025-08-22,True
HL,7.89,2025-08-22,True
HLLY,3.89,2025-08-22,True
