Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
ATLO,19.98,2025-09-01,True,GOOD_ENTRY,10.0,0.4
STNE,16.47,2025-09-01,True,GOOD_ENTRY,4.0,-0.78
LSBK,13.44,2025-09-01,True,EXPIRED,24.0,6.84
ATMV,12.02,2025-09-01,True,GOOD_ENTRY,18.0,0.25
KOYNU,10.06,2025-09-01,True,GOOD_ENTRY,4.0,0.1
AVAH,8.0,2025-09-01,True,EXPIRED,25.0,37.69
LDWY,5.51,2025-09-01,True,GOOD_ENTRY,7.0,-0.18
LTRX,4.97,2025-09-01,True,GOOD_ENTRY,4.0,6.88
VFF,3.27,2025-09-01,True,EXPIRED,38.0,115.13
CDE,13.15,2025-09-01,True,EXPIRED,25.0,16.58
SAND,11.16,2025-09-01,True,EXPIRED,24.0,7.1
TRTX,9.35,2025-09-01,True,GOOD_ENTRY,5.0,1.08
FSM,7.7,2025-09-01,True,GOOD_ENTRY,10.0,1.99
EXK,6.24,2025-09-01,True,GOOD_ENTRY,4.0,5.94
