Ticker,Price,Date,Trinity
NMRK,18.39,2025-08-25,True
SSRM,17.52,2025-08-25,True
CHCI,15.94,2025-08-25,True
COMM,15.9,2025-08-25,True
LSBK,13.1,2025-08-25,True
WNEB,12.3,2025-08-25,True
TDUP,12.08,2025-08-25,True
ONEG,11.21,2025-08-25,True
FMFC,10.29,2025-08-25,True
EMPG,9.82,2025-08-25,True
ARRY,9.32,2025-08-25,True
ASLE,8.89,2025-08-25,True
XERS,7.77,2025-08-25,True
EFTY,7.74,2025-08-25,True
AVAH,7.43,2025-08-25,True
BUUU,6.69,2025-08-25,True
IMRX,5.95,2025-08-25,True
ONDS,4.85,2025-08-25,True
ATAI,4.74,2025-08-25,True
IVA,4.66,2025-08-25,True
NUTR,4.53,2025-08-25,True
MBOT,4.16,2025-08-25,True
PGEN,3.98,2025-08-25,True
DSWL,3.87,2025-08-25,True
CPSH,3.56,2025-08-25,True
VFF,2.92,2025-08-25,True
IPA,2.76,2025-08-25,True
GOSS,2.36,2025-08-25,True
DAN,19.99,2025-08-25,True
KGC,19.72,2025-08-25,True
PBT,16.61,2025-08-25,True
NWG,15.39,2025-08-25,True
VIV,12.8,2025-08-25,True
CDE,12.14,2025-08-25,True
SAND,10.84,2025-08-25,True
GNW,8.64,2025-08-25,True
JMIA,8.24,2025-08-25,True
IHS,7.43,2025-08-25,True
