Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
PPTA,19.2,2025-09-03,True,CAUTION,19.0,10.92
OCUL,12.94,2025-09-03,True,EXPIRED,40.0,5.98
SIFY,10.27,2025-09-03,True,EXPIRED,36.0,65.65
MLCO,10.13,2025-09-03,True,GOOD_ENTRY,9.0,6.86
NMPAU,10.1,2025-09-03,True,EXPIRED,40.0,0.6
BSBK,9.49,2025-09-03,True,GOOD_ENTRY,19.0,4.4
XERS,7.84,2025-09-03,True,EXPIRED,27.0,18.79
ELVA,6.36,2025-09-03,True,EXPIRED,36.0,27.45
GENI,13.06,2025-09-03,True,EXPIRED,33.0,11.82
ARI,10.69,2025-09-03,True,GOOD_ENTRY,5.0,0.94
