Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
STNE,17.85,2025-09-09,True,GOOD_ENTRY,12.0,7.53
NEUP,15.1,2025-09-09,True,EXTENDED_MOVE,11.0,33.27
ONEG,12.8,2025-09-09,True,EXPIRED,28.0,19.63
AMRX,9.89,2025-09-09,True,EXPIRED,25.0,4.66
CIFR,9.22,2025-09-09,True,EXTENDED_MOVE,11.0,20.68
SPAI,7.49,2025-09-09,True,CAUTION,15.0,10.31
IMRX,7.05,2025-09-09,True,EXTENDED_MOVE,19.0,52.27
NUTR,5.12,2025-09-09,True,EXPIRED,22.0,24.88
VSA,3.0,2025-09-09,True,EXTENDED_MOVE,5.0,42.86
AII,19.54,2025-09-09,True,EXPIRED,25.0,2.46
IAG,10.02,2025-09-09,True,LATE_STAGE,19.0,18.44
JMIA,9.72,2025-09-09,True,EXPIRED,33.0,67.01
NGL,5.87,2025-09-09,True,GOOD_ENTRY,5.0,1.21
AVAL,3.38,2025-09-09,True,EXPIRED,22.0,2.74
EQS,2.48,2025-09-09,True,EXPIRED,42.0,65.33
