Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
APLD,18.68,2025-09-12,True,EXPIRED,30.0,26.22
AUPH,12.74,2025-09-12,True,EXPIRED,39.0,11.27
INTR,8.91,2025-09-12,True,EXPIRED,36.0,15.41
CURX,8.6,2025-09-12,True,EXTENDED_MOVE,16.0,84.55
AVAH,8.44,2025-09-12,True,EXPIRED,36.0,45.27
EOSE,8.2,2025-09-12,True,GOOD_ENTRY,10.0,9.19
HYMC,6.39,2025-09-12,True,CAUTION,10.0,17.25
ILPT,6.39,2025-09-12,True,EXPIRED,38.0,3.57
LIXT,6.01,2025-09-12,True,EXPIRED,42.0,23.41
FCHL,5.54,2025-09-12,True,EXTENDED_MOVE,7.0,20.43
TURN,4.96,2025-09-12,True,EXPIRED,45.0,16.71
FBIO,3.89,2025-09-12,True,EXTENDED_MOVE,17.0,65.53
ENTO,3.15,2025-09-12,True,CAUTION,10.0,14.96
CWK,16.64,2025-09-12,True,GOOD_ENTRY,17.0,4.98
PSTL,15.97,2025-09-12,True,GOOD_ENTRY,16.0,2.37
CMRE,12.3,2025-09-12,True,GOOD_ENTRY,18.0,4.59
GNW,8.8,2025-09-12,True,EXPIRED,46.0,8.51
EBR,8.67,2025-09-12,True,EXPIRED,36.0,10.03
CPAC,6.85,2025-09-12,True,GOOD_ENTRY,14.0,1.03
LDI,4.27,2025-09-12,True,GOOD_ENTRY,4.0,12.07
TV,2.88,2025-09-12,True,EXPIRED,44.0,2.49
