Ticker,Price,Date,Trinity
ISSC,18.51,2025-08-11,True
NMRK,16.14,2025-08-11,True
SSRM,15.56,2025-08-11,True
COMM,15.24,2025-08-11,True
NMPAU,10.07,2025-08-11,True
XGN,9.38,2025-08-11,True
FMFC,8.3,2025-08-11,True
EVLV,7.24,2025-08-11,True
AVAH,6.83,2025-08-11,True
TPCS,5.68,2025-08-11,True
NB,4.45,2025-08-11,True
VFF,2.31,2025-08-11,True
BBVA,18.62,2025-08-11,True
PBT,16.38,2025-08-11,True
GENI,12.52,2025-08-11,True
VIV,12.22,2025-08-11,True
CDE,11.61,2025-08-11,True
NPKI,9.49,2025-08-11,True
SAN,9.32,2025-08-11,True
GNW,8.34,2025-08-11,True
EBR,8.27,2025-08-11,True
IHS,6.74,2025-08-11,True
