Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
STNE,18.83,2025-09-16,True,CAUTION,19.0,13.43
BWAY,16.89,2025-09-16,True,EXPIRED,29.0,13.74
MPAA,16.27,2025-09-16,True,EXPIRED,36.0,17.81
HOND,12.58,2025-09-16,True,GOOD_ENTRY,4.0,4.31
CIFR,11.51,2025-09-16,True,EXTENDED_MOVE,18.0,50.65
BLZE,9.55,2025-09-16,True,EXPIRED,25.0,16.18
MOB,7.7,2025-09-16,True,EXPIRED,22.0,46.67
CRCT,6.7,2025-09-16,True,GOOD_ENTRY,4.0,1.36
GRAB,6.32,2025-09-16,True,GOOD_ENTRY,4.0,5.33
AREC,2.71,2025-09-16,True,EXPIRED,36.0,66.26
AVBC,15.8,2025-09-16,True,EXPIRED,27.0,5.33
SGHC,13.09,2025-09-16,True,GOOD_ENTRY,21.0,6.42
JMIA,11.91,2025-09-16,True,EXPIRED,40.0,104.64
NPKI,10.88,2025-09-16,True,EXPIRED,53.0,20.49
EFXT,10.77,2025-09-16,True,GOOD_ENTRY,4.0,1.8
NMR,7.55,2025-09-16,True,EXPIRED,49.0,8.01
PGRE,7.39,2025-09-16,True,EXPIRED,32.0,8.04
NGL,6.47,2025-09-16,True,CAUTION,12.0,11.55
