Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
EZPW,16.79,2025-09-10,True,GOOD_ENTRY,12.0,0.72
COMM,16.22,2025-09-10,True,EXPIRED,43.0,94.48
ROIV,13.77,2025-09-10,True,GOOD_ENTRY,6.0,9.55
SIFY,12.22,2025-09-10,True,EXPIRED,43.0,97.1
DHC,4.36,2025-09-10,True,GOOD_ENTRY,2.0,1.63
AXTI,3.36,2025-09-10,True,GOOD_ENTRY,8.0,2.44
GOSS,3.11,2025-09-10,True,EXPIRED,44.0,57.07
SDHY,17.16,2025-09-10,True,GOOD_ENTRY,12.0,0.7
HGTY,12.47,2025-09-10,True,GOOD_ENTRY,2.0,3.23
ARI,11.02,2025-09-10,True,GOOD_ENTRY,12.0,4.06
SAN,9.95,2025-09-10,True,EXPIRED,47.0,10.93
CX,9.18,2025-09-10,True,EXPIRED,43.0,6.25
KNOP,8.96,2025-09-10,True,GOOD_ENTRY,12.0,7.69
CMCM,7.38,2025-09-10,True,GOOD_ENTRY,2.0,0.96
