Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
FTLF,19.21,2025-09-22,True,EXPIRED,28.0,5.55
PRCH,18.89,2025-09-22,True,EXPIRED,47.0,17.77
USAU,16.33,2025-09-22,True,GOOD_ENTRY,11.0,7.36
EMPG,14.95,2025-09-22,True,EXPIRED,46.0,114.49
TWIN,14.57,2025-09-22,True,GOOD_ENTRY,13.0,7.37
NBTX,12.86,2025-09-22,True,EXPIRED,40.0,63.82
WLAC,11.99,2025-09-22,True,GOOD_ENTRY,6.0,10.61
GILT,11.84,2025-09-22,True,EXPIRED,47.0,29.4
MFH,11.66,2025-09-22,True,EXTENDED_MOVE,6.0,22.22
HCMAU,10.3,2025-09-22,True,EXPIRED,49.0,1.98
EGAN,9.3,2025-09-22,True,EXTENDED_MOVE,14.0,20.47
IMRX,8.73,2025-09-22,True,EXPIRED,32.0,88.55
ONDS,7.26,2025-09-22,True,EXPIRED,46.0,123.38
TLS,7.15,2025-09-22,True,EXPIRED,41.0,36.45
HYMC,6.7,2025-09-22,True,EXTENDED_MOVE,20.0,22.94
ENTO,4.99,2025-09-22,True,EXTENDED_MOVE,20.0,82.12
UROY,4.57,2025-09-22,True,EXTENDED_MOVE,20.0,38.07
FBIO,4.0,2025-09-22,True,EXPIRED,27.0,70.21
CLLS,3.67,2025-09-22,True,EXPIRED,59.0,45.63
RAVE,3.6,2025-09-22,True,EXPIRED,32.0,14.29
TYGO,2.17,2025-09-22,True,EXTENDED_MOVE,5.0,23.3
CDE,17.87,2025-09-22,True,EXPIRED,46.0,58.42
HBM,14.21,2025-09-22,True,EXPIRED,40.0,25.42
AG,12.14,2025-09-22,True,EXTENDED_MOVE,20.0,26.33
IAG,11.97,2025-09-22,True,EXPIRED,32.0,41.49
HOUS,10.29,2025-09-22,True,EXPIRED,28.0,69.52
ODV,3.08,2025-09-22,True,EXPIRED,27.0,7.32
