Ticker,Price,Date,Trinity,Entry_Status,Days_Since_Signal,Price_Move_Pct
WBD,19.56,2025-09-23,True,EXPIRED,57.0,42.77
HOND,15.78,2025-09-23,True,EXTENDED_MOVE,11.0,30.85
CIFR,14.15,2025-09-23,True,EXPIRED,25.0,85.21
NESR,10.38,2025-09-23,True,GOOD_ENTRY,14.0,6.57
ASYS,9.65,2025-09-23,True,EXTENDED_MOVE,19.0,50.55
INTR,9.47,2025-09-23,True,EXPIRED,47.0,22.67
MOB,8.86,2025-09-23,True,EXPIRED,29.0,68.76
LPTH,7.16,2025-09-23,True,EXPIRED,29.0,59.11
NB,6.14,2025-09-23,True,EXPIRED,48.0,52.36
LWLG,4.69,2025-09-23,True,GOOD_ENTRY,4.0,11.93
OCGN,1.66,2025-09-23,True,EXTENDED_MOVE,6.0,25.76
PBT,18.83,2025-09-23,True,EXPIRED,49.0,26.12
AAUC,17.19,2025-09-23,True,GOOD_ENTRY,7.0,13.84
NPKI,11.21,2025-09-23,True,EXPIRED,60.0,24.14
EFXT,11.05,2025-09-23,True,GOOD_ENTRY,11.0,4.44
FSM,8.53,2025-09-23,True,EXPIRED,32.0,12.98
TTI,5.59,2025-09-23,True,GOOD_ENTRY,5.0,6.07
BBD,3.39,2025-09-23,True,GOOD_ENTRY,18.0,6.6
NRGV,3.18,2025-09-23,True,GOOD_ENTRY,5.0,18.66
