Ticker,Price,Date
STOK,18.51,2025-08-18
SSRM,16.78,2025-08-18
APLD,16.34,2025-08-18
SLGL,16.1,2025-08-18
COMM,15.69,2025-08-18
CHCI,15.56,2025-08-18
BWAY,14.85,2025-08-18
COEP,14.65,2025-08-18
TBPH,13.61,2025-08-18
KYIV,13.5,2025-08-18
AUPH,12.22,2025-08-18
VALN,12.14,2025-08-18
BBOT,12.08,2025-08-18
ELTX,11.78,2025-08-18
VOD,11.7,2025-08-18
FSHP,10.51,2025-08-18
BNR,10.17,2025-08-18
XGN,9.75,2025-08-18
WULF,9.38,2025-08-18
BSBK,9.02,2025-08-18
ASLE,8.83,2025-08-18
NBTX,8.8,2025-08-18
XNET,8.79,2025-08-18
RNW,7.74,2025-08-18
XERS,7.36,2025-08-18
EFTY,6.37,2025-08-18
TURN,4.62,2025-08-18
IVA,4.59,2025-08-18
IZEA,4.28,2025-08-18
BUUU,4.24,2025-08-18
NUTR,4.1,2025-08-18
DSWL,3.56,2025-08-18
FOSL,3.09,2025-08-18
VFF,2.9,2025-08-18
IPA,2.7,2025-08-18
GEG,2.24,2025-08-18
SWAG,1.79,2025-08-18
EM,1.29,2025-08-18
KGC,19.38,2025-08-18
AMX,19.14,2025-08-18
PRM,18.65,2025-08-18
NPB,16.24,2025-08-18
GENI,12.93,2025-08-18
VIV,12.49,2025-08-18
YEXT,8.8,2025-08-18
SHCO,8.78,2025-08-18
JMIA,8.03,2025-08-18
FIGS,7.03,2025-08-18
TEF,5.65,2025-08-18
QD,5.02,2025-08-18
AVAL,3.29,2025-08-18
