Ticker,Price,Date
STOK,19.32,2025-08-20
SLGL,18.4,2025-08-20
KPLT,15.3,2025-08-20
GTX,13.15,2025-08-20
VOD,11.9,2025-08-20
ONCHU,10.48,2025-08-20
OYSE,10.04,2025-08-20
LWAC,9.98,2025-08-20
FIGX,9.98,2025-08-20
XGN,9.84,2025-08-20
ARRY,8.93,2025-08-20
RZLT,6.66,2025-08-20
EFTY,6.6,2025-08-20
TLS,6.03,2025-08-20
YMAT,5.74,2025-08-20
NUTR,4.3,2025-08-20
CGTX,2.02,2025-08-20
PMEC,1.51,2025-08-20
NTST,18.96,2025-08-20
NPB,16.62,2025-08-20
TAK,15.48,2025-08-20
AVBC,15.0,2025-08-20
HYAC,11.17,2025-08-20
ADT,8.72,2025-08-20
MBI,7.23,2025-08-20
TEF,5.71,2025-08-20
RERE,4.56,2025-08-20
HLLY,3.71,2025-08-20
