Ticker,Price,Date
LQDA,19.82,2025-07-28
URGN,18.9,2025-07-28
INDV,17.09,2025-07-28
WBD,13.7,2025-07-28
GTX,13.09,2025-07-28
OCUL,12.08,2025-07-28
FORD,11.32,2025-07-28
YORK,10.74,2025-07-28
ELTX,10.14,2025-07-28
MFIN,10.12,2025-07-28
NMPAU,10.06,2025-07-28
OBAWU,10.03,2025-07-28
GTERA,9.98,2025-07-28
MIMI,8.74,2025-07-28
EVLV,6.86,2025-07-28
RZLT,6.38,2025-07-28
ATYR,6.16,2025-07-28
NTWK,4.44,2025-07-28
TPCS,4.26,2025-07-28
ROMA,4.11,2025-07-28
TOI,3.77,2025-07-28
CLLS,2.85,2025-07-28
IOBT,2.4,2025-07-28
GOSS,1.98,2025-07-28
TLSA,1.95,2025-07-28
WHG,18.44,2025-07-28
NTST,18.41,2025-07-28
ACEL,12.82,2025-07-28
COUR,12.51,2025-07-28
RITM,12.23,2025-07-28
NPKI,9.13,2025-07-28
GNW,8.11,2025-07-28
CIO,6.92,2025-07-28
IHS,6.37,2025-07-28
OIS,5.84,2025-07-28
