Ticker,Price,Date
ATLO,19.98,2025-08-29
STOK,19.76,2025-08-29
SSRM,19.31,2025-08-29
PPTA,18.87,2025-08-29
FRBA,16.82,2025-08-29
EZPW,16.67,2025-08-29
STNE,16.47,2025-08-29
LSBK,13.44,2025-08-29
MSGY,13.37,2025-08-29
ATMV,12.02,2025-08-29
NEUP,11.33,2025-08-29
KALA,11.22,2025-08-29
FSHP,10.56,2025-08-29
EMPG,10.5,2025-08-29
CEPF,10.14,2025-08-29
KOYNU,10.06,2025-08-29
AVAH,8.0,2025-08-29
CIFR,7.64,2025-08-29
ILPT,6.16,2025-08-29
ELVA,6.07,2025-08-29
ONDS,5.86,2025-08-29
CURX,5.6,2025-08-29
LDWY,5.51,2025-08-29
LTRX,4.97,2025-08-29
VFF,3.27,2025-08-29
BRLT,2.92,2025-08-29
FBIO,2.58,2025-08-29
RMCO,2.24,2025-08-29
PMEC,1.75,2025-08-29
AII,19.99,2025-08-29
BVN,19.14,2025-08-29
SDHY,17.04,2025-08-29
PSTL,15.84,2025-08-29
AVBC,15.47,2025-08-29
CDE,13.15,2025-08-29
HE,12.96,2025-08-29
SVV,12.09,2025-08-29
SAND,11.16,2025-08-29
ARI,10.59,2025-08-29
NPKI,10.4,2025-08-29
TRTX,9.35,2025-08-29
IAG,9.31,2025-08-29
HL,8.51,2025-08-29
KNOP,8.32,2025-08-29
CGAU,8.17,2025-08-29
FSM,7.7,2025-08-29
PGRE,7.2,2025-08-29
CPAC,6.78,2025-08-29
EXK,6.24,2025-08-29
HLLY,4.07,2025-08-29
