Ticker,Price,Date
APLD,19.91,2025-09-18
UPWK,19.6,2025-09-18
EZPW,17.89,2025-09-18
RIOT,17.51,2025-09-18
MPAA,16.49,2025-09-18
CARL,15.35,2025-09-18
PAX,15.25,2025-09-18
ETNB,14.96,2025-09-18
ADPT,13.77,2025-09-18
GTX,13.56,2025-09-18
AMLX,13.25,2025-09-18
HOND,12.8,2025-09-18
NBTX,12.31,2025-09-18
WLAC,11.5,2025-09-18
CCCX,11.25,2025-09-18
WULF,11.17,2025-09-18
MAMA,10.48,2025-09-18
ONCH,10.22,2025-09-18
ASYS,9.5,2025-09-18
EFTY,9.3,2025-09-18
EGAN,9.01,2025-09-18
EOSE,9.0,2025-09-18
AVAH,8.46,2025-09-18
XERS,8.3,2025-09-18
MOB,8.06,2025-09-18
FTCI,7.62,2025-09-18
RILY,7.16,2025-09-18
FCHL,6.87,2025-09-18
CRCT,6.79,2025-09-18
OSS,6.79,2025-09-18
ELVA,6.77,2025-09-18
GRAB,6.35,2025-09-18
NUTR,6.1,2025-09-18
EPRX,6.04,2025-09-18
SRTA,5.83,2025-09-18
III,5.54,2025-09-18
MDXH,3.9,2025-09-18
YQ,3.74,2025-09-18
BITF,3.2,2025-09-18
KOPN,2.7,2025-09-18
BLDP,2.62,2025-09-18
GPRO,2.54,2025-09-18
MNY,2.22,2025-09-18
OCGN,1.4,2025-09-18
ELAN,19.1,2025-09-18
PSTL,16.35,2025-09-18
AVBC,15.92,2025-09-18
GDOT,15.25,2025-09-18
WT,14.47,2025-09-18
SGHC,11.69,2025-09-18
AMPX,11.47,2025-09-18
NPKI,11.04,2025-09-18
EFXT,10.75,2025-09-18
PL,10.61,2025-09-18
NGL,6.96,2025-09-18
TTI,5.27,2025-09-18
BW,3.52,2025-09-18
NRGV,2.68,2025-09-18
