Ticker,Price,Date
HNRG,19.62,2025-08-11
ISSC,18.51,2025-08-11
CMPO,17.96,2025-08-11
SLGL,16.2,2025-08-11
NMRK,16.14,2025-08-11
SSRM,15.56,2025-08-11
COMM,15.24,2025-08-11
CHCI,14.75,2025-08-11
MPAA,13.81,2025-08-11
NMPAU,10.07,2025-08-11
XGN,9.38,2025-08-11
FMFC,8.3,2025-08-11
EVLV,7.24,2025-08-11
XERS,7.2,2025-08-11
AVAH,6.83,2025-08-11
TPCS,5.68,2025-08-11
YMAT,5.07,2025-08-11
SWIN,4.85,2025-08-11
PBYI,4.85,2025-08-11
EFTY,4.75,2025-08-11
NB,4.45,2025-08-11
ARTW,4.24,2025-08-11
UCL,3.71,2025-08-11
ANTE,3.4,2025-08-11
CPSH,3.32,2025-08-11
CRON,2.67,2025-08-11
VFF,2.31,2025-08-11
AREC,1.63,2025-08-11
TGNA,19.87,2025-08-11
BBVA,18.62,2025-08-11
PRM,17.81,2025-08-11
ELAN,17.1,2025-08-11
PBT,16.38,2025-08-11
GENI,12.52,2025-08-11
VIV,12.22,2025-08-11
CDE,11.61,2025-08-11
SAND,10.54,2025-08-11
NPKI,9.49,2025-08-11
SAN,9.32,2025-08-11
GNW,8.34,2025-08-11
EBR,8.27,2025-08-11
IHS,6.74,2025-08-11
JMIA,6.44,2025-08-11
MFG,6.24,2025-08-11
LYG,4.45,2025-08-11
