Ticker,Price,Date
NMRK,19.28,2025-09-12
WBD,18.87,2025-09-12
PSKY,18.79,2025-09-12
APLD,18.68,2025-09-12
KALA,18.62,2025-09-12
STNE,18.29,2025-09-12
USAU,15.82,2025-09-12
MPAA,15.78,2025-09-12
AUPH,12.74,2025-09-12
HOND,12.06,2025-09-12
CIFR,10.85,2025-09-12
ADXN,10.7,2025-09-12
NESR,10.25,2025-09-12
MAYA,10.23,2025-09-12
HCMAU,10.15,2025-09-12
OCC,9.79,2025-09-12
SSSS,9.27,2025-09-12
ASYS,9.24,2025-09-12
INTR,8.91,2025-09-12
CURX,8.6,2025-09-12
AVAH,8.44,2025-09-12
EOSE,8.2,2025-09-12
GDC,8.07,2025-09-12
MOB,7.39,2025-09-12
CRCT,6.61,2025-09-12
ONDS,6.56,2025-09-12
HYMC,6.39,2025-09-12
ILPT,6.39,2025-09-12
LIXT,6.01,2025-09-12
GRAB,6.0,2025-09-12
FCHL,5.54,2025-09-12
NUTR,5.34,2025-09-12
NB,5.28,2025-09-12
TURN,4.96,2025-09-12
BZUN,4.77,2025-09-12
MGRT,4.52,2025-09-12
IMPP,4.47,2025-09-12
DHC,4.45,2025-09-12
VSA,4.01,2025-09-12
FBIO,3.89,2025-09-12
MDXH,3.69,2025-09-12
AXTI,3.66,2025-09-12
FTEK,3.63,2025-09-12
RAVE,3.55,2025-09-12
GOSS,3.46,2025-09-12
THTX,3.3,2025-09-12
ENTO,3.15,2025-09-12
KOPN,2.53,2025-09-12
APWC,2.07,2025-09-12
MNY,2.05,2025-09-12
CWK,16.64,2025-09-12
PSTL,15.97,2025-09-12
CDE,15.53,2025-09-12
WT,14.33,2025-09-12
CMRE,12.3,2025-09-12
NVRI,12.19,2025-09-12
SAND,11.79,2025-09-12
HL,11.21,2025-09-12
IAG,11.16,2025-09-12
EFXT,10.58,2025-09-12
AG,10.54,2025-09-12
JMIA,9.91,2025-09-12
CGAU,9.25,2025-09-12
GNW,8.8,2025-09-12
EBR,8.67,2025-09-12
FSM,8.35,2025-09-12
IHS,7.61,2025-09-12
NMR,7.51,2025-09-12
HOUS,7.14,2025-09-12
CPAC,6.85,2025-09-12
LDI,4.27,2025-09-12
AVAL,3.47,2025-09-12
TV,2.88,2025-09-12
