Ticker,Price,Date
FTLF,19.88,2025-09-26
MSGY,19.7,2025-09-26
EZPW,18.76,2025-09-26
MFH,18.19,2025-09-26
PLTS,17.1,2025-09-26
EMPG,16.88,2025-09-26
HCSG,16.36,2025-09-26
EFTY,14.91,2025-09-26
AMLX,14.52,2025-09-26
COGT,14.16,2025-09-26
FMFC,14.04,2025-09-26
HONE,13.75,2025-09-26
LINK,13.62,2025-09-26
SIFY,12.89,2025-09-26
XGN,10.89,2025-09-26
BLZRU,10.34,2025-09-26
CHAC,10.21,2025-09-26
MOB,10.2,2025-09-26
RZLT,9.34,2025-09-26
FULC,8.84,2025-09-26
AVAH,8.75,2025-09-26
TNGX,8.53,2025-09-26
LPTH,7.9,2025-09-26
NUTR,7.13,2025-09-26
NB,6.82,2025-09-26
AQST,5.99,2025-09-26
III,5.97,2025-09-26
TDIC,5.66,2025-09-26
FLUX,3.8,2025-09-26
CTMX,2.9,2025-09-26
TYGO,2.4,2025-09-26
AQB,1.84,2025-09-26
IRD,1.82,2025-09-26
OVID,1.73,2025-09-26
ELAN,19.61,2025-09-26
AM,19.58,2025-09-26
CDE,18.44,2025-09-26
SBH,15.98,2025-09-26
MUX,15.55,2025-09-26
PSLV,15.54,2025-09-26
TIC,14.49,2025-09-26
SVV,13.71,2025-09-26
IAG,12.42,2025-09-26
SAND,12.27,2025-09-26
PL,12.2,2025-09-26
F,12.01,2025-09-26
HL,11.67,2025-09-26
NPKI,11.31,2025-09-26
SBSW,11.16,2025-09-26
SAN,10.38,2025-09-26
CGAU,10.26,2025-09-26
GNW,9.11,2025-09-26
KNOP,9.07,2025-09-26
MFG,6.85,2025-09-26
TTI,5.89,2025-09-26
NRT,5.83,2025-09-26
