Ticker,Price,Date
KPLT,19.92,2025-09-03
PPTA,19.2,2025-09-03
FRBA,16.74,2025-09-03
EZPW,16.66,2025-09-03
KALA,15.01,2025-09-03
CFSB,14.24,2025-09-03
COGT,13.08,2025-09-03
OCUL,12.94,2025-09-03
SIFY,10.27,2025-09-03
MLCO,10.13,2025-09-03
NMPAU,10.1,2025-09-03
AMLX,9.84,2025-09-03
VSTM,9.5,2025-09-03
BSBK,9.49,2025-09-03
AVAH,8.34,2025-09-03
XERS,7.84,2025-09-03
EOSE,7.62,2025-09-03
ADAM,7.36,2025-09-03
SHLS,6.78,2025-09-03
ELVA,6.36,2025-09-03
TOYO,6.18,2025-09-03
CURX,6.1,2025-09-03
LPTH,5.58,2025-09-03
PGEN,4.75,2025-09-03
GALT,4.49,2025-09-03
DSWL,4.3,2025-09-03
VTGN,3.69,2025-09-03
UROY,3.31,2025-09-03
GEG,3.09,2025-09-03
BRLT,2.91,2025-09-03
ENTO,2.77,2025-09-03
GOSS,2.58,2025-09-03
BVN,19.94,2025-09-03
NPB,18.08,2025-09-03
SKE,17.14,2025-09-03
CDE,13.97,2025-09-03
MUX,13.91,2025-09-03
GENI,13.06,2025-09-03
HBM,12.45,2025-09-03
SVV,12.1,2025-09-03
CMRE,11.9,2025-09-03
SAND,11.23,2025-09-03
ARI,10.69,2025-09-03
NPKI,10.31,2025-09-03
IAG,9.51,2025-09-03
AG,9.47,2025-09-03
TRTX,9.39,2025-09-03
CX,9.16,2025-09-03
HL,8.98,2025-09-03
CGAU,8.44,2025-09-03
TK,8.31,2025-09-03
FSM,7.78,2025-09-03
PGRE,7.37,2025-09-03
EXK,6.45,2025-09-03
TV,2.83,2025-09-03
