Ticker,Price,Date
ATLO,19.9,2025-08-22
CMPO,19.84,2025-08-22
GEOS,19.49,2025-08-22
PBBK,19.14,2025-08-22
NMRK,18.14,2025-08-22
PPTA,17.73,2025-08-22
ECBK,17.18,2025-08-22
SSRM,17.11,2025-08-22
FRBA,16.61,2025-08-22
ATEC,16.14,2025-08-22
BWAY,15.2,2025-08-22
LIND,14.84,2025-08-22
RBKB,13.75,2025-08-22
PBFS,13.22,2025-08-22
WNEB,12.37,2025-08-22
TDUP,11.68,2025-08-22
MIND,11.17,2025-08-22
XGN,10.1,2025-08-22
NBTX,10.09,2025-08-22
AMRX,9.59,2025-08-22
FMFC,9.4,2025-08-22
AMLX,9.3,2025-08-22
VSTM,9.08,2025-08-22
EMPG,8.48,2025-08-22
BLZE,8.22,2025-08-22
GASS,7.24,2025-08-22
RZLT,7.0,2025-08-22
EFTY,6.98,2025-08-22
TLS,6.57,2025-08-22
BUUU,5.4,2025-08-22
OPEN,5.01,2025-08-22
IMRX,4.89,2025-08-22
ATAI,4.57,2025-08-22
ONDS,4.49,2025-08-22
NUTR,4.43,2025-08-22
PGEN,4.18,2025-08-22
MBOT,3.85,2025-08-22
IPA,3.2,2025-08-22
VFF,2.96,2025-08-22
CGTX,2.81,2025-08-22
GOSS,2.34,2025-08-22
EQ,1.9,2025-08-22
DAN,19.82,2025-08-22
KGC,19.6,2025-08-22
PRM,19.48,2025-08-22
BVN,18.87,2025-08-22
WHG,18.76,2025-08-22
NPB,17.17,2025-08-22
VIV,12.63,2025-08-22
CDE,12.07,2025-08-22
SAND,10.98,2025-08-22
NPKI,10.39,2025-08-22
SAN,9.79,2025-08-22
ECVT,9.19,2025-08-22
CX,8.9,2025-08-22
IAG,8.77,2025-08-22
GNW,8.68,2025-08-22
HL,7.89,2025-08-22
FSM,7.55,2025-08-22
HLLY,3.89,2025-08-22
