Ticker,Price,Date
ARQT,17.93,2025-09-09
STNE,17.85,2025-09-09
BWAY,15.92,2025-09-09
NEUP,15.1,2025-09-09
EYPT,14.19,2025-09-09
TWIN,13.57,2025-09-09
ROIV,13.48,2025-09-09
ADUR,12.95,2025-09-09
ONEG,12.8,2025-09-09
SIFY,11.99,2025-09-09
GILT,10.68,2025-09-09
RFAI,10.63,2025-09-09
AMLX,10.51,2025-09-09
SVACU,10.03,2025-09-09
AMRX,9.89,2025-09-09
NESR,9.74,2025-09-09
UFG,9.65,2025-09-09
CIFR,9.22,2025-09-09
BLZE,9.22,2025-09-09
EGAN,8.18,2025-09-09
RZLT,8.08,2025-09-09
DGNX,8.0,2025-09-09
ASYS,7.94,2025-09-09
CURX,7.92,2025-09-09
SPAI,7.49,2025-09-09
IMRX,7.05,2025-09-09
HYMC,5.71,2025-09-09
NUTR,5.12,2025-09-09
GALT,4.95,2025-09-09
DHC,4.28,2025-09-09
DAIO,3.49,2025-09-09
VSA,3.0,2025-09-09
AWRE,2.77,2025-09-09
HKIT,1.66,2025-09-09
AII,19.54,2025-09-09
GDOT,14.58,2025-09-09
SGHC,13.15,2025-09-09
HBM,13.01,2025-09-09
CMRE,12.3,2025-09-09
HGTY,12.13,2025-09-09
ARI,11.02,2025-09-09
IAG,10.02,2025-09-09
SAN,9.8,2025-09-09
JMIA,9.72,2025-09-09
CGAU,8.85,2025-09-09
CMCM,7.08,2025-09-09
NGL,5.87,2025-09-09
AVAL,3.38,2025-09-09
ODV,3.08,2025-09-09
EQS,2.48,2025-09-09
