Ticker,Price,Date
ISSC,19.73,2025-08-13
CMPO,19.27,2025-08-13
NMRK,17.42,2025-08-13
LTBR,17.14,2025-08-13
WBTN,16.96,2025-08-13
STOK,16.91,2025-08-13
SSRM,16.35,2025-08-13
ATEC,15.8,2025-08-13
CHCI,15.1,2025-08-13
PSKY,15.0,2025-08-13
PDLB,14.91,2025-08-13
APLD,14.8,2025-08-13
FORD,13.41,2025-08-13
PBFS,13.03,2025-08-13
ADPT,13.0,2025-08-13
OCUL,12.5,2025-08-13
TBPH,12.42,2025-08-13
AUPH,12.01,2025-08-13
WNEB,11.85,2025-08-13
VALN,11.16,2025-08-13
ASPI,11.03,2025-08-13
AACI,10.31,2025-08-13
XGN,9.67,2025-08-13
BHST,9.49,2025-08-13
CUPR,9.21,2025-08-13
FENC,9.11,2025-08-13
NBTX,7.85,2025-08-13
MCVT,7.45,2025-08-13
AVAH,7.15,2025-08-13
EFTY,5.69,2025-08-13
TLS,5.57,2025-08-13
PBYI,5.3,2025-08-13
NIU,5.04,2025-08-13
ELVA,5.0,2025-08-13
SLDP,4.82,2025-08-13
IMAB,4.24,2025-08-13
SKIN,2.38,2025-08-13
SWAG,1.56,2025-08-13
ENLV,1.56,2025-08-13
DAN,19.23,2025-08-13
PRM,18.51,2025-08-13
ELAN,17.81,2025-08-13
MYE,16.79,2025-08-13
NPB,16.09,2025-08-13
NWG,14.83,2025-08-13
GDOT,14.08,2025-08-13
NUS,11.54,2025-08-13
HBM,11.33,2025-08-13
SAND,10.65,2025-08-13
NPKI,10.0,2025-08-13
SAN,9.53,2025-08-13
JMIA,7.46,2025-08-13
TEF,5.55,2025-08-13
LPL,4.88,2025-08-13
RERE,4.54,2025-08-13
QD,4.32,2025-08-13
HLLY,3.64,2025-08-13
