Ticker,Price,Date
CMPO,19.75,2025-08-28
PPTA,18.47,2025-08-28
SSRM,18.3,2025-08-28
OPRX,18.23,2025-08-28
CHCI,17.97,2025-08-28
STNE,16.6,2025-08-28
APLD,16.6,2025-08-28
LSBK,13.4,2025-08-28
ADPT,13.31,2025-08-28
MSGY,12.89,2025-08-28
ONEG,11.74,2025-08-28
YORK,11.4,2025-08-28
HDSN,10.28,2025-08-28
MLCO,10.07,2025-08-28
KOYNU,10.05,2025-08-28
APAD,9.9,2025-08-28
SIFY,9.44,2025-08-28
AMLX,9.42,2025-08-28
INTR,8.61,2025-08-28
BLZE,8.4,2025-08-28
AVAH,7.84,2025-08-28
SPAI,6.82,2025-08-28
MOB,6.4,2025-08-28
IVA,6.35,2025-08-28
ELVA,6.04,2025-08-28
ONDS,5.7,2025-08-28
LPTH,5.44,2025-08-28
CURX,5.19,2025-08-28
TURN,4.83,2025-08-28
NUTR,4.71,2025-08-28
LTRX,4.65,2025-08-28
PGEN,4.55,2025-08-28
ANTE,4.21,2025-08-28
VFF,3.15,2025-08-28
SNDL,2.69,2025-08-28
FBIO,2.42,2025-08-28
RMCO,2.07,2025-08-28
PMEC,1.76,2025-08-28
NPB,17.7,2025-08-28
PSTL,15.7,2025-08-28
AVBC,15.56,2025-08-28
CDE,12.56,2025-08-28
NPKI,10.44,2025-08-28
YEXT,9.14,2025-08-28
JMIA,9.13,2025-08-28
HL,8.07,2025-08-28
CGAU,7.83,2025-08-28
ITUB,7.11,2025-08-28
PGRE,7.07,2025-08-28
OPAD,6.23,2025-08-28
EXK,5.89,2025-08-28
HLLY,4.03,2025-08-28
UP,3.3,2025-08-28
