Ticker,Price,Date
DRVN,19.21,2025-09-04
CHCI,18.1,2025-09-04
MSGY,17.32,2025-09-04
FRBA,16.99,2025-09-04
EZPW,16.9,2025-09-04
ATEC,16.55,2025-09-04
BWAY,15.97,2025-09-04
KALA,14.53,2025-09-04
OCUL,12.7,2025-09-04
ROIV,12.57,2025-09-04
AUPH,12.53,2025-09-04
ONEG,12.24,2025-09-04
FMFC,10.91,2025-09-04
VSTM,10.56,2025-09-04
SIFY,10.23,2025-09-04
MLCO,10.09,2025-09-04
MBVIU,10.02,2025-09-04
BLZE,8.69,2025-09-04
ADAM,7.37,2025-09-04
CURX,7.1,2025-09-04
ASYS,6.41,2025-09-04
OPEN,5.96,2025-09-04
HYMC,5.51,2025-09-04
III,5.29,2025-09-04
NUTR,4.8,2025-09-04
GALT,4.67,2025-09-04
DSWL,4.22,2025-09-04
VTGN,3.62,2025-09-04
VSA,2.1,2025-09-04
NPB,18.44,2025-09-04
PBT,17.93,2025-09-04
CDE,14.1,2025-09-04
SVV,12.74,2025-09-04
CMRE,11.95,2025-09-04
NVRI,11.74,2025-09-04
ARI,10.89,2025-09-04
NPKI,10.63,2025-09-04
TRTX,9.51,2025-09-04
CX,9.23,2025-09-04
SHCO,8.92,2025-09-04
PGRE,7.4,2025-09-04
NGL,5.8,2025-09-04
NUVB,3.42,2025-09-04
WDH,1.82,2025-09-04
