Ticker,Price,Date
STOK,18.49,2025-08-19
SLGL,17.74,2025-08-19
NMRK,17.42,2025-08-19
HCSG,15.39,2025-08-19
KYIV,15.17,2025-08-19
BWAY,14.47,2025-08-19
MSGY,11.85,2025-08-19
VOD,11.71,2025-08-19
VALN,11.46,2025-08-19
BNR,9.39,2025-08-19
BSBK,9.06,2025-08-19
NBTX,9.0,2025-08-19
ARRY,8.91,2025-08-19
EMPG,7.48,2025-08-19
EFTY,6.6,2025-08-19
YMAT,5.38,2025-08-19
IZEA,4.22,2025-08-19
NUTR,4.21,2025-08-19
DSWL,3.56,2025-08-19
AAME,3.53,2025-08-19
IPA,2.57,2025-08-19
PRM,18.53,2025-08-19
NPB,16.57,2025-08-19
NUS,11.86,2025-08-19
ADT,8.83,2025-08-19
ECVT,8.73,2025-08-19
FIGS,7.1,2025-08-19
TEF,5.63,2025-08-19
RERE,4.64,2025-08-19
HLLY,3.72,2025-08-19
AVAL,3.25,2025-08-19
