Ticker,Price,Date
STNE,18.83,2025-09-16
KALA,18.32,2025-09-16
RIOT,17.52,2025-09-16
BWAY,16.89,2025-09-16
MPAA,16.27,2025-09-16
CARL,15.3,2025-09-16
PAX,14.76,2025-09-16
ADUR,13.93,2025-09-16
PBFS,13.34,2025-09-16
HOND,12.58,2025-09-16
CIFR,11.51,2025-09-16
AFJK,11.33,2025-09-16
WLAC,10.84,2025-09-16
CCCX,10.69,2025-09-16
DTSQ,10.49,2025-09-16
NESR,10.43,2025-09-16
GSRFU,10.1,2025-09-16
ORIQ,10.01,2025-09-16
BLZE,9.55,2025-09-16
MFH,9.54,2025-09-16
CURX,9.16,2025-09-16
EGAN,8.92,2025-09-16
EFTY,8.28,2025-09-16
MRAM,7.8,2025-09-16
MOB,7.7,2025-09-16
CRCT,6.7,2025-09-16
OSS,6.51,2025-09-16
GRAB,6.32,2025-09-16
FCHL,6.17,2025-09-16
LPTH,6.09,2025-09-16
NB,5.58,2025-09-16
IMPP,4.59,2025-09-16
AEI,4.27,2025-09-16
ENTO,4.06,2025-09-16
AXTI,4.01,2025-09-16
HITI,3.71,2025-09-16
UROY,3.53,2025-09-16
THTX,3.3,2025-09-16
EFOI,3.16,2025-09-16
YQ,3.09,2025-09-16
IHRT,2.97,2025-09-16
BITF,2.89,2025-09-16
AREC,2.71,2025-09-16
AACG,2.55,2025-09-16
SKIN,2.42,2025-09-16
SKE,18.32,2025-09-16
CDE,16.27,2025-09-16
AVBC,15.8,2025-09-16
AAUC,15.1,2025-09-16
SGHC,13.09,2025-09-16
NVRI,12.51,2025-09-16
JMIA,11.91,2025-09-16
NPKI,10.88,2025-09-16
EFXT,10.77,2025-09-16
PAGS,10.74,2025-09-16
AG,10.37,2025-09-16
ELP,9.63,2025-09-16
CX,9.55,2025-09-16
EBR,9.06,2025-09-16
HSHP,8.73,2025-09-16
NMR,7.55,2025-09-16
PGRE,7.39,2025-09-16
FIGS,7.33,2025-09-16
NGL,6.47,2025-09-16
BW,3.2,2025-09-16
CIG,2.08,2025-09-16
