Ticker,Price,Date
FTLF,19.21,2025-09-22
PRCH,18.89,2025-09-22
DOMO,18.2,2025-09-22
EZPW,18.03,2025-09-22
DGNX,17.75,2025-09-22
MPAA,16.83,2025-09-22
USAU,16.33,2025-09-22
COEP,15.74,2025-09-22
KOD,15.01,2025-09-22
EMPG,14.95,2025-09-22
TWIN,14.57,2025-09-22
CIFR,13.96,2025-09-22
ADPT,13.94,2025-09-22
AMLX,13.31,2025-09-22
AUPH,13.07,2025-09-22
NBTX,12.86,2025-09-22
PRE,12.39,2025-09-22
CCCX,12.31,2025-09-22
WLAC,11.99,2025-09-22
GILT,11.84,2025-09-22
MFH,11.66,2025-09-22
WULF,11.49,2025-09-22
MAMA,10.95,2025-09-22
BLZE,10.75,2025-09-22
HCMAU,10.3,2025-09-22
EOSE,10.24,2025-09-22
EFTY,9.78,2025-09-22
EGAN,9.3,2025-09-22
IMRX,8.73,2025-09-22
MRAM,8.6,2025-09-22
AEC,8.26,2025-09-22
MOB,8.15,2025-09-22
ONDS,7.26,2025-09-22
TLS,7.15,2025-09-22
HYMC,6.7,2025-09-22
EPRX,6.65,2025-09-22
GRAB,6.45,2025-09-22
VERI,5.7,2025-09-22
III,5.62,2025-09-22
RR,5.54,2025-09-22
TACT,5.36,2025-09-22
AXTI,5.14,2025-09-22
ENTO,4.99,2025-09-22
MDXH,4.68,2025-09-22
DHC,4.58,2025-09-22
UROY,4.57,2025-09-22
LWLG,4.55,2025-09-22
YQ,4.13,2025-09-22
FBIO,4.0,2025-09-22
VOXR,3.97,2025-09-22
CLLS,3.67,2025-09-22
RAVE,3.6,2025-09-22
AREC,2.96,2025-09-22
BLDP,2.88,2025-09-22
GPRO,2.88,2025-09-22
WRAP,2.56,2025-09-22
APWC,2.24,2025-09-22
TYGO,2.17,2025-09-22
AQB,1.62,2025-09-22
CDE,17.87,2025-09-22
AAUC,16.65,2025-09-22
MUX,14.99,2025-09-22
PSLV,14.82,2025-09-22
HBM,14.21,2025-09-22
NUS,12.84,2025-09-22
AG,12.14,2025-09-22
IAG,11.97,2025-09-22
ASX,11.71,2025-09-22
HOUS,10.29,2025-09-22
SBSW,10.07,2025-09-22
CGAU,9.66,2025-09-22
EXK,7.82,2025-09-22
LAW,6.75,2025-09-22
ODV,3.08,2025-09-22
