Ticker,Price,Date
LQDA,19.6,2025-07-25
INDV,17.14,2025-07-25
PARA,13.05,2025-07-25
GTX,12.94,2025-07-25
OCUL,12.21,2025-07-25
ASPI,10.47,2025-07-25
PLMK,10.31,2025-07-25
SGMT,10.24,2025-07-25
KCHVU,10.16,2025-07-25
PACHU,10.06,2025-07-25
NMPAU,10.04,2025-07-25
EVLV,6.82,2025-07-25
ATHE,6.55,2025-07-25
RZLT,6.3,2025-07-25
MCVT,5.9,2025-07-25
ROMA,4.21,2025-07-25
IZEA,3.94,2025-07-25
ZOOZ,3.66,2025-07-25
YYGH,3.39,2025-07-25
CLLS,2.52,2025-07-25
IPA,2.16,2025-07-25
VFF,1.52,2025-07-25
JBGS,19.54,2025-07-25
AMX,18.48,2025-07-25
NTST,18.39,2025-07-25
MH,16.81,2025-07-25
WT,13.66,2025-07-25
COUR,12.37,2025-07-25
EVAC-U,10.12,2025-07-25
NPKI,9.03,2025-07-25
SAN,8.97,2025-07-25
PNNT,7.44,2025-07-25
