Ticker,Price,Date
TRIP,17.97,2025-08-08
CMPO,17.53,2025-08-08
OPRX,17.3,2025-08-08
NMRK,16.24,2025-08-08
COMM,15.58,2025-08-08
TZUP,15.46,2025-08-08
FORD,14.22,2025-08-08
EMCG,13.95,2025-08-08
LSBK,12.58,2025-08-08
LZ,10.98,2025-08-08
MIMI,9.94,2025-08-08
XGN,9.2,2025-08-08
VALN,9.11,2025-08-08
BHST,8.76,2025-08-08
EVLV,7.29,2025-08-08
EMPG,6.66,2025-08-08
MQ,6.52,2025-08-08
AVAH,6.14,2025-08-08
TPCS,5.83,2025-08-08
NB,4.74,2025-08-08
GALT,4.15,2025-08-08
UCL,3.59,2025-08-08
ONDS,3.55,2025-08-08
OKYO,3.27,2025-08-08
AMX,19.05,2025-08-08
KGC,18.98,2025-08-08
BBVA,18.59,2025-08-08
BVN,18.33,2025-08-08
PRM,18.0,2025-08-08
ARLO,16.71,2025-08-08
PBT,16.27,2025-08-08
CDE,11.65,2025-08-08
SAND,10.42,2025-08-08
SAN,9.31,2025-08-08
OWLT,9.3,2025-08-08
GNW,8.31,2025-08-08
EBR,8.17,2025-08-08
AMPX,8.06,2025-08-08
AEG,7.38,2025-08-08
MFG,6.26,2025-08-08
