Ticker,Price,Date
STOK,18.21,2025-08-15
PPTA,17.31,2025-08-15
SSRM,16.78,2025-08-15
DLO,15.66,2025-08-15
COEP,13.97,2025-08-15
TBPH,13.15,2025-08-15
AUPH,12.27,2025-08-15
VOD,11.67,2025-08-15
VALN,11.53,2025-08-15
AACI,10.33,2025-08-15
HVMCU,10.07,2025-08-15
ONEG,10.0,2025-08-15
XGN,9.49,2025-08-15
AMRX,9.45,2025-08-15
BHST,9.32,2025-08-15
BSBK,9.09,2025-08-15
RNW,7.77,2025-08-15
EVLV,7.75,2025-08-15
XERS,7.68,2025-08-15
ABEO,7.13,2025-08-15
EMPG,6.99,2025-08-15
EFTY,6.35,2025-08-15
PBYI,5.73,2025-08-15
NIU,4.99,2025-08-15
ARTW,4.25,2025-08-15
IZEA,4.2,2025-08-15
VIOT,3.79,2025-08-15
DSWL,3.47,2025-08-15
THTX,3.24,2025-08-15
FOSL,3.1,2025-08-15
AAME,3.08,2025-08-15
PGEN,2.94,2025-08-15
ENLV,1.82,2025-08-15
BBVA,19.24,2025-08-15
AII,19.07,2025-08-15
PRM,18.56,2025-08-15
ELAN,17.96,2025-08-15
SMFG,17.13,2025-08-15
NPB,16.19,2025-08-15
MUFG,15.9,2025-08-15
GENI,12.91,2025-08-15
SAN,9.64,2025-08-15
SKLZ,8.9,2025-08-15
JMIA,7.75,2025-08-15
AEG,7.5,2025-08-15
NMR,7.38,2025-08-15
PGRE,6.84,2025-08-15
MFG,6.68,2025-08-15
TEF,5.63,2025-08-15
QD,4.67,2025-08-15
HLLY,3.56,2025-08-15
