Ticker,Price,Date
WBD,19.78,2025-09-25
CLPT,19.74,2025-09-25
FTLF,19.57,2025-09-25
EZPW,18.39,2025-09-25
EMPG,15.86,2025-09-25
MFH,14.76,2025-09-25
AMLX,13.82,2025-09-25
CCCX,13.34,2025-09-25
SVII,13.08,2025-09-25
WLAC,12.93,2025-09-25
EFTY,12.8,2025-09-25
LINK,12.6,2025-09-25
PRE,12.31,2025-09-25
TVA,10.73,2025-09-25
XGN,10.57,2025-09-25
CHAC,10.15,2025-09-25
SOCA,10.05,2025-09-25
OTGAU,10.05,2025-09-25
BCAR,9.92,2025-09-25
MOB,9.58,2025-09-25
FULC,8.5,2025-09-25
MASS,8.22,2025-09-25
TNGX,7.97,2025-09-25
NB,7.31,2025-09-25
NUTR,6.89,2025-09-25
III,5.76,2025-09-25
IMPP,5.1,2025-09-25
MGRT,4.6,2025-09-25
THTX,3.39,2025-09-25
TYGO,2.44,2025-09-25
IRD,1.72,2025-09-25
AM,19.54,2025-09-25
PSLV,15.12,2025-09-25
SVV,13.27,2025-09-25
CMRE,12.72,2025-09-25
PL,11.96,2025-09-25
SBSW,10.66,2025-09-25
PAII,9.95,2025-09-25
LAC,7.37,2025-09-25
LPL,5.19,2025-09-25
LAR,3.84,2025-09-25
