Ticker,Price,Date
ISSC,17.44,2025-08-05
DOMO,16.3,2025-08-05
ATEC,15.34,2025-08-05
COMM,14.77,2025-08-05
AIP,13.0,2025-08-05
AUPH,11.7,2025-08-05
RFAI,10.59,2025-08-05
MFIN,10.37,2025-08-05
TDUP,10.23,2025-08-05
HCMAU,10.13,2025-08-05
FGMC,9.97,2025-08-05
ELWS,9.84,2025-08-05
MIMI,9.24,2025-08-05
CUPR,8.43,2025-08-05
EVLV,7.15,2025-08-05
ILPT,6.17,2025-08-05
TPCS,5.71,2025-08-05
SWIN,4.02,2025-08-05
TOI,3.96,2025-08-05
FTEK,2.96,2025-08-05
GOSS,2.16,2025-08-05
VFF,1.69,2025-08-05
KGC,18.16,2025-08-05
BBVA,17.28,2025-08-05
MYE,15.85,2025-08-05
PBT,14.93,2025-08-05
SVV,11.35,2025-08-05
EVAC-U,10.13,2025-08-05
YALA,8.95,2025-08-05
CIO,6.98,2025-08-05
IHS,6.43,2025-08-05
