Ticker,Price,Date
HNRG,19.97,2025-08-07
NMRK,15.88,2025-08-07
TZUP,15.37,2025-08-07
ATEC,14.9,2025-08-07
SSRM,14.84,2025-08-07
FORD,13.64,2025-08-07
PBPB,13.02,2025-08-07
ADPT,12.54,2025-08-07
OCUL,12.3,2025-08-07
DXR,10.5,2025-08-07
FSHP,10.49,2025-08-07
FACT,10.3,2025-08-07
KFII,10.18,2025-08-07
MAYA,10.15,2025-08-07
AACI,10.07,2025-08-07
ORIQU,10.06,2025-08-07
CGCT,10.05,2025-08-07
FGMC,9.97,2025-08-07
BHST,8.1,2025-08-07
FMFC,7.96,2025-08-07
SIFY,7.91,2025-08-07
INTR,7.72,2025-08-07
EMPG,6.97,2025-08-07
MQ,6.83,2025-08-07
XERS,6.6,2025-08-07
AVAH,5.81,2025-08-07
NB,4.24,2025-08-07
TOI,4.16,2025-08-07
ARTW,3.68,2025-08-07
IMAB,3.51,2025-08-07
ONDS,3.25,2025-08-07
THTX,3.21,2025-08-07
FTEK,3.05,2025-08-07
ANTE,2.82,2025-08-07
AMX,18.97,2025-08-07
KGC,18.77,2025-08-07
BVN,18.5,2025-08-07
BBVA,18.12,2025-08-07
DAN,17.57,2025-08-07
ELAN,16.48,2025-08-07
PBT,15.6,2025-08-07
KEP,14.79,2025-08-07
VIV,12.14,2025-08-07
CDE,11.28,2025-08-07
ELP,9.24,2025-08-07
SAN,9.08,2025-08-07
EBR,7.88,2025-08-07
JMIA,5.82,2025-08-07
