Ticker,Price,Date
JCAP,19.69,2025-08-26
FRD,18.83,2025-08-26
FTLF,18.43,2025-08-26
NMRK,18.32,2025-08-26
SSRM,18.32,2025-08-26
CHCI,17.0,2025-08-26
COMM,16.46,2025-08-26
DOMO,16.11,2025-08-26
BWAY,15.9,2025-08-26
SRBK,14.99,2025-08-26
KPLT,14.67,2025-08-26
FDSB,13.85,2025-08-26
MSGY,12.5,2025-08-26
GILT,9.95,2025-08-26
EMPG,9.8,2025-08-26
MLCO,9.73,2025-08-26
ARRY,9.56,2025-08-26
XERS,7.95,2025-08-26
BUUU,7.38,2025-08-26
EFTY,7.25,2025-08-26
RZLT,7.2,2025-08-26
SHLS,6.84,2025-08-26
SPAI,6.11,2025-08-26
ELVA,5.48,2025-08-26
ONDS,4.97,2025-08-26
LPTH,4.92,2025-08-26
DSWL,3.74,2025-08-26
CPSH,3.63,2025-08-26
MDXH,3.62,2025-08-26
BRLT,2.76,2025-08-26
GOSS,2.53,2025-08-26
SNDL,2.47,2025-08-26
FBIO,2.35,2025-08-26
AREC,2.1,2025-08-26
DRD,18.58,2025-08-26
NPB,17.72,2025-08-26
MYE,16.8,2025-08-26
CWK,15.85,2025-08-26
AVBC,15.15,2025-08-26
GENI,13.04,2025-08-26
SGHC,12.3,2025-08-26
NUS,12.21,2025-08-26
IAG,9.08,2025-08-26
CX,8.97,2025-08-26
JMIA,8.94,2025-08-26
MBI,7.9,2025-08-26
CGAU,7.86,2025-08-26
HOUS,6.43,2025-08-26
HLLY,3.89,2025-08-26
UP,3.0,2025-08-26
ODV,2.87,2025-08-26
PVL,2.03,2025-08-26
