Ticker,Price,Date
ISSC,19.48,2025-08-12
CMPO,18.82,2025-08-12
NMRK,16.73,2025-08-12
SSRM,16.13,2025-08-12
ATEC,15.72,2025-08-12
PDLB,14.88,2025-08-12
CHCI,14.75,2025-08-12
PBFS,12.78,2025-08-12
LSBK,12.75,2025-08-12
OCUL,12.48,2025-08-12
TBPH,11.92,2025-08-12
WNEB,11.71,2025-08-12
DXR,11.38,2025-08-12
ASPI,11.21,2025-08-12
ONEG,10.7,2025-08-12
MNMD,10.15,2025-08-12
BACCU,10.1,2025-08-12
SSEAU,10.03,2025-08-12
XGN,9.56,2025-08-12
VALN,9.4,2025-08-12
ASLE,8.77,2025-08-12
DERM,8.54,2025-08-12
INTR,8.22,2025-08-12
FMFC,7.7,2025-08-12
EVLV,7.5,2025-08-12
AVAH,7.24,2025-08-12
TLS,5.24,2025-08-12
EFTY,5.0,2025-08-12
ONDS,4.29,2025-08-12
ARTW,4.26,2025-08-12
CPSH,3.45,2025-08-12
CRON,2.56,2025-08-12
VFF,2.48,2025-08-12
KGC,19.33,2025-08-12
DAN,18.67,2025-08-12
ELAN,17.43,2025-08-12
MYE,16.53,2025-08-12
NPB,15.63,2025-08-12
MUFG,15.1,2025-08-12
NWG,14.67,2025-08-12
WT,13.59,2025-08-12
GDOT,13.43,2025-08-12
GENI,12.74,2025-08-12
CDE,11.86,2025-08-12
NUS,11.15,2025-08-12
NPKI,9.87,2025-08-12
SAN,9.39,2025-08-12
ELP,9.32,2025-08-12
CX,8.77,2025-08-12
EBR,8.44,2025-08-12
GNW,8.44,2025-08-12
HL,7.67,2025-08-12
AEG,7.44,2025-08-12
IHS,7.31,2025-08-12
JMIA,7.25,2025-08-12
NMR,7.23,2025-08-12
ITUB,7.1,2025-08-12
MFG,6.43,2025-08-12
TEF,5.45,2025-08-12
LYG,4.53,2025-08-12
HLLY,3.39,2025-08-12
