Ticker,Price,Date
PBBK,19.75,2025-08-27
STOK,19.3,2025-08-27
PPTA,18.61,2025-08-27
DOMO,17.57,2025-08-27
CHCI,17.41,2025-08-27
FRBA,16.72,2025-08-27
COMM,16.13,2025-08-27
BWAY,15.26,2025-08-27
SRBK,15.15,2025-08-27
LSBK,13.18,2025-08-27
WNEB,12.5,2025-08-27
MSGY,12.22,2025-08-27
VOD,12.06,2025-08-27
ONEG,11.41,2025-08-27
HDSN,10.25,2025-08-27
MLCO,9.9,2025-08-27
GILT,9.82,2025-08-27
SIFY,9.55,2025-08-27
AMLX,9.45,2025-08-27
VSTM,9.29,2025-08-27
INTR,8.39,2025-08-27
BLZE,8.2,2025-08-27
TRVI,8.0,2025-08-27
AVAH,7.85,2025-08-27
RZLT,7.2,2025-08-27
SPAI,6.91,2025-08-27
OSS,6.27,2025-08-27
MOB,5.88,2025-08-27
IVA,5.23,2025-08-27
IMRX,5.19,2025-08-27
ONDS,5.07,2025-08-27
TURN,4.73,2025-08-27
CURX,4.66,2025-08-27
NB,4.63,2025-08-27
PGEN,4.59,2025-08-27
MDXH,3.59,2025-08-27
AAME,3.43,2025-08-27
BRLT,2.83,2025-08-27
SNDL,2.53,2025-08-27
GOSS,2.46,2025-08-27
AREC,2.18,2025-08-27
RMCO,1.98,2025-08-27
AII,19.47,2025-08-27
ELAN,18.49,2025-08-27
NPB,17.77,2025-08-27
PSTL,15.6,2025-08-27
CDE,12.47,2025-08-27
TRTX,9.25,2025-08-27
JMIA,9.18,2025-08-27
IAG,9.16,2025-08-27
MBI,8.13,2025-08-27
HL,8.03,2025-08-27
PGRE,6.95,2025-08-27
GTN,6.24,2025-08-27
AVAL,3.38,2025-08-27
UP,2.91,2025-08-27
PVL,2.0,2025-08-27
