Ticker,Price,Date
CMPO,19.45,2025-08-14
NMRK,17.37,2025-08-14
SSRM,16.08,2025-08-14
DLO,15.35,2025-08-14
TBPH,12.94,2025-08-14
AUPH,12.09,2025-08-14
ATMV,11.99,2025-08-14
BACQ,10.41,2025-08-14
AACI,10.33,2025-08-14
NMPAU,10.07,2025-08-14
ORIQU,10.06,2025-08-14
SSEAU,10.04,2025-08-14
HVMCU,10.03,2025-08-14
INTR,8.17,2025-08-14
SLDP,5.37,2025-08-14
PBYI,5.32,2025-08-14
IMAB,5.16,2025-08-14
NIU,5.01,2025-08-14
IVA,4.22,2025-08-14
AAME,2.88,2025-08-14
VFF,2.82,2025-08-14
ENLV,1.78,2025-08-14
CGTX,1.66,2025-08-14
BBVA,19.05,2025-08-14
PRM,18.52,2025-08-14
ELAN,18.0,2025-08-14
SMFG,16.75,2025-08-14
NPB,16.35,2025-08-14
MUFG,15.34,2025-08-14
NWG,15.17,2025-08-14
GDOT,13.79,2025-08-14
GENI,12.91,2025-08-14
VIV,12.3,2025-08-14
CDE,11.59,2025-08-14
SAN,9.62,2025-08-14
SKLZ,9.09,2025-08-14
ELP,9.0,2025-08-14
GNW,8.55,2025-08-14
HL,7.66,2025-08-14
AEG,7.51,2025-08-14
NMR,7.26,2025-08-14
MFG,6.5,2025-08-14
TEF,5.58,2025-08-14
LYG,4.58,2025-08-14
RERE,4.24,2025-08-14
